episode:78,Updates:78/250,Timesteps:15800/50000,FPS:138.0,avg_sp:-2.21,value_loss:0.048971466223398846,policy_loss:-0.005677532396900157,dist_entropy:0.7029337882995605,actor_grad_norm:1.534103274345398,critic_grad_norm:0.18793214857578278,ratio:0.9916960597038269,average_step_rewards:-1.0750000476837158
episode:79,Updates:79/250,Timesteps:16000/50000,FPS:138.0,avg_sp:-2.56,value_loss:0.029224004844824472,policy_loss:-0.020886749463776746,dist_entropy:0.6933977007865906,actor_grad_norm:1.4325822591781616,critic_grad_norm:0.18205662071704865,ratio:1.0042502880096436,average_step_rewards:-1.1725000143051147
episode:80,Updates:80/250,Timesteps:16200/50000,FPS:138.0,avg_sp:-2.55,value_loss:0.04250150894125303,policy_loss:-0.04446923285722733,dist_entropy:0.6802565137545268,actor_grad_norm:1.5353968143463135,critic_grad_norm:0.39525291323661804,ratio:0.9995111227035522,average_step_rewards:-1.0525000095367432
episode:81,Updates:81/250,Timesteps:16400/50000,FPS:138.0,avg_sp:-2.49,value_loss:0.05371414745847384,policy_loss:-0.010913368112718065,dist_entropy:0.7058966954549154,actor_grad_norm:1.4979859590530396,critic_grad_norm:0.19719615578651428,ratio:1.0051915645599365,average_step_rewards:-1.122499942779541
episode:82,Updates:82/250,Timesteps:16600/50000,FPS:138.0,avg_sp:-2.45,value_loss:0.026480773588021596,policy_loss:-0.0237041670208176,dist_entropy:0.6698689301808675,actor_grad_norm:1.5859112739562988,critic_grad_norm:0.22787515819072723,ratio:0.9967395663261414,average_step_rewards:-1.2000000476837158
episode:83,Updates:83/250,Timesteps:16800/50000,FPS:138.0,avg_sp:-2.33,value_loss:0.1006020501255989,policy_loss:0.03149639181792736,dist_entropy:0.6529216368993124,actor_grad_norm:1.162449598312378,critic_grad_norm:0.7934656739234924,ratio:1.0005611181259155,average_step_rewards:-1.0525000095367432
episode:84,Updates:84/250,Timesteps:17000/50000,FPS:138.0,avg_sp:-2.62,value_loss:0.0347546720256408,policy_loss:-0.0012382032601938894,dist_entropy:0.6609209020932515,actor_grad_norm:0.9775485992431641,critic_grad_norm:0.6742530465126038,ratio:1.000472903251648,average_step_rewards:-1.1325000524520874
episode:85,Updates:85/250,Timesteps:17200/50000,FPS:138.0,avg_sp:-2.59,value_loss:0.05304468770821889,policy_loss:-0.0401944284637769,dist_entropy:0.6671284914016724,actor_grad_norm:1.4233167171478271,critic_grad_norm:0.363400399684906,ratio:0.9913952350616455,average_step_rewards:-1.162500023841858
episode:86,Updates:86/250,Timesteps:17400/50000,FPS:138.0,avg_sp:-2.36,value_loss:0.02546767344077428,policy_loss:-0.01731799092764656,dist_entropy:0.6401696483294169,actor_grad_norm:1.3661155700683594,critic_grad_norm:0.2410627156496048,ratio:0.9938082098960876,average_step_rewards:-1.1399999856948853
episode:87,Updates:87/250,Timesteps:17600/50000,FPS:138.0,avg_sp:-2.24,value_loss:0.02699423854549726,policy_loss:0.006160600756023389,dist_entropy:0.6348519881566366,actor_grad_norm:1.261021375656128,critic_grad_norm:0.3252333402633667,ratio:0.9955447912216187,average_step_rewards:-0.9975000023841858
episode:88,Updates:88/250,Timesteps:17800/50000,FPS:138.0,avg_sp:-2.29,value_loss:0.037720124175151186,policy_loss:-0.02191147767007351,dist_entropy:0.6571346799532573,actor_grad_norm:1.169474482536316,critic_grad_norm:0.5621629357337952,ratio:0.9973803758621216,average_step_rewards:-1.1974999904632568
episode:89,Updates:89/250,Timesteps:18000/50000,FPS:138.0,avg_sp:-2.2,value_loss:0.10422903100649515,policy_loss:0.03630480853219827,dist_entropy:0.6557058890660604,actor_grad_norm:1.821624994277954,critic_grad_norm:0.8696939945220947,ratio:0.9970096349716187,average_step_rewards:-0.9599999785423279
